Position,Country,Score,Classification,KPIs-PC,KPIs-R,KPIs-E,KPIs-ICT,KPIs-GH,Region,ShowLabel,Label
116,Namibia,27.25,Periphery AI Nation,0,ED-,0.9157,"$26,028,082.63",22072,Africa,FALSE,
117,Jamaica,27.23,Periphery AI Nation,40,ED,1.67785,"$127,565,622.58",58587,Central & South America,FALSE,
118,Kyrgyzstan,26.64,Periphery AI Nation,4.2,EA,4.45138,,121507,Middle East & Central Asia,FALSE,
119,Lao People's Democratic Republic,26.24,Periphery AI Nation,23.9,CA,14.33878,"$60,763,412.54",40818,Indo-Pacific,FALSE,
120,Bosnia and Herzegovina,26.18,Periphery AI Nation,11.8,EA+,5.02419,"$521,779,854.27",99259,Europe & Eurasia,FALSE,
121,Libya,26.12,Periphery AI Nation,25.8,CA,11.41914,"$11,900,000.00",73665,Africa,TRUE,Libya
122,Benin,25.27,Periphery AI Nation,4.4,EA+,0.3279,"$14,021,610.72",66467,Africa,FALSE,
123,Vanuatu,25.26,Periphery AI Nation,13,ED+,0.0331,"$6,448,986.52",1289,Indo-Pacific,FALSE,
124,Trinidad and Tobago,24.99,Periphery AI Nation,9.7,LD-,2.13688,"$42,093,408.73",41845,Central & South America,FALSE,
125,Uganda,24.95,Periphery AI Nation,3.4,EA,2.01495,"$48,478,909.46",147165,Africa,FALSE,
126,Democratic People's Republic of Korea,24.83,Periphery AI Nation,14,CA,8.52839,,,Indo-Pacific,FALSE,
127,Tuvalu,24.25,Periphery AI Nation,18.4,,0.0048,"$146,061.49",,Indo-Pacific,FALSE,
128,Kiribati,24.07,Periphery AI Nation,20.6,,0.00836,"$369,250.75",520,Indo-Pacific,FALSE,
129,Gabon,23.98,Periphery AI Nation,0,EA,0.862,"$2,132,050.13",16223,Africa,FALSE,
130,Palau,23.93,Periphery AI Nation,19.2,,0.04948,"$164,000.00",397,Indo-Pacific,FALSE,
131,Bahamas,23.93,Periphery AI Nation,0,,0.95252,,11344,North America,FALSE,
132,Nauru,23.43,Periphery AI Nation,60,,0.02871,,110,Indo-Pacific,FALSE,
133,Maldives,23.35,Periphery AI Nation,0,ED-,0.3195,"$46,894,839.10",22798,Indo-Pacific,FALSE,
134,Zimbabwe,23.29,Periphery AI Nation,0,EA,3.13228,"$14,930,000.00",84670,Africa,FALSE,
135,Tonga,23.05,Periphery AI Nation,35,,0.03616,"$113,498.77",778,Indo-Pacific,FALSE,
136,Turkmenistan,23,Periphery AI Nation,5.9,CA+,7.00231,,7738,Middle East & Central Asia,FALSE,
137,Djibouti,22.81,Periphery AI Nation,3.7,EA,0.183,"$80,518,861.54",5867,Africa,FALSE,
138,Cuba,22.65,Periphery AI Nation,2.9,CA,6.1662,,52084,Central & South America,FALSE,
139,Seychelles,22.59,Periphery AI Nation,33.9,LD,0.12814,"$10,532,979.33",26777,Africa,FALSE,
140,Samoa,22.5,Periphery AI Nation,18.4,,0.05966,"$26,864,236.51",830,Indo-Pacific,FALSE,
141,Myanmar,22.01,Periphery AI Nation,,CA,7.02881,"$149,715,842.22",199199,,FALSE,
142,"Venezuela, Bolivarian Republic of",21.85,Periphery AI Nation,2.7,EA,35.66854,"$64,000,000.00",345018,Central & South America,FALSE,
143,Marshall Islands,21.82,Periphery AI Nation,7.4,,0.04197,"$317,697.24",340,Indo-Pacific,FALSE,
144,Solomon Islands,21.61,Periphery AI Nation,8.1,ED,0.04708,"$2,541,793.25",1533,Indo-Pacific,FALSE,
145,Guatemala,21.59,Periphery AI Nation,0,ED,3.82412,"$556,852,050.00",195658,Central & South America,FALSE,
146,Papua New Guinea,21.45,Periphery AI Nation,33.7,EA,0.64749,"$196,375.58",16631,Indo-Pacific,FALSE,
147,Syrian Arab Republic,21.44,Periphery AI Nation,,,8.92971,"$140,657,918.97",67957,,FALSE,
148,Malawi,21.39,Periphery AI Nation,0,ED-,0.61492,"$161,059,368.79",35746,Africa,FALSE,
149,Bolivia (Plurinational State of),21.33,Periphery AI Nation,6.5,ED,3.5509,"$47,023,396.71",222560,Central & South America,TRUE,Bolivia
150,Guyana,21.28,Periphery AI Nation,0,ED-,0.26845,"$4,553,370.00",11193,Central & South America,FALSE,
151,Micronesia (Federated States of),21.19,Periphery AI Nation,0,,0.04826,,570,Indo-Pacific,FALSE,
152,Barbados,20.88,Periphery AI Nation,4.1,LD-,0.36804,"$3,438,207.61",10660,Central & South America,FALSE,
153,Saint Lucia,20.86,Periphery AI Nation,6.2,,,,4283,Central & South America,FALSE,
154,Togo,20.84,Periphery AI Nation,0,EA,0.34019,"$35,585,472.61",40421,Africa,FALSE,
155,Democratic Republic of the Congo,20.7,Periphery AI Nation,2.3,EA,3.6465,"$2,513,902.75",66438,Africa,FALSE,
156,Somalia,20.58,Periphery AI Nation,0,CA,0,,72309,Africa,FALSE,
157,Angola,20.56,Periphery AI Nation,0,EA,5.95841,"$20,569,382.05",81314,Africa,FALSE,
158,Cabo Verde,20.47,Periphery AI Nation,0,ED,0.22884,"$10,998,456.23",7526,Africa,FALSE,
159,Tajikistan,20.18,Periphery AI Nation,0,EA,6.54069,"$2,982,910.00",26111,Middle East & Central Asia,FALSE,
160,Lesotho,20.17,Periphery AI Nation,28.8,ED,0.10328,"$15,666.63",10459,Africa,FALSE,
